vacID,dateID,province,partial,fully,booster
680,53,MB,2441661,1037539,276639
681,53,ON,27311125,11415518,3662068
682,53,QC,15444640,6711562,1405744
683,53,NL,932249,447111,0
684,53,NB,1452045,622395,152407
685,53,NS,1791016,794817,133044
686,53,PE,292619,133999,15181
687,53,YT,80825,34029,10341
688,53,NT,91434,36803,14692
689,53,NU,55230,24746,0
690,54,BC,9604331,4123009,1089410
691,54,AB,7825022,3223444,1087405
692,54,SK,2128090,866037,314597
693,54,MB,2548223,1041044,373869
694,54,ON,28324152,11462390,4571616
695,54,QC,15942679,6724651,1872698
696,54,NL,934192,447810,0
697,54,NB,1488815,623892,184284
698,54,NS,1842770,796012,180694
699,54,PE,302771,134316,23995
700,54,YT,83875,34201,12844
701,54,NT,92957,36943,15864
702,54,NU,55740,24832,0
703,55,BC,9962096,4132647,1412493
704,55,AB,8007767,3242357,1239464
705,55,SK,2194619,876137,365082
706,55,MB,2624569,1044743,440805
707,55,ON,29337677,11530464,5440984
708,55,QC,16661070,6742281,2543681
709,55,NL,939733,449755,0
710,55,NB,1533010,625621,223777
711,55,NS,1909828,800180,239090
712,55,PE,314880,134681,34273
713,55,YT,87871,34440,16274
714,55,NT,93926,37022,16619
715,55,NU,56225,24998,0
716,56,BC,10334333,4142310,1754646
717,56,AB,8124814,3248574,1348382
718,56,SK,2248820,884599,405845
719,56,MB,2688402,1049953,493634
720,56,ON,29977268,11595052,5955345
721,56,QC,17362055,6779928,3176522
722,56,NL,941771,450386,0
723,56,NB,1586297,627392,271987
724,56,NS,1998064,798609,327601
725,56,PE,325811,135061,43863
726,56,YT,88855,34514,17131
727,56,NT,94939,37132,17362
728,56,NU,56820,25197,0
729,57,BC,10640763,4153936,2034020
730,57,AB,8255417,3275269,1431208
731,57,SK,2290101,893793,433752
732,57,MB,2732174,1060362,522823
733,57,ON,30490270,11696545,6316931
734,57,QC,17911880,6869379,3612295
735,57,NL,948615,454481,0
736,57,NB,1639654,631670,317456
737,57,NS,2094109,801014,418261
738,57,PE,331772,135649,48502
739,57,YT,89982,34664,17977
740,57,NT,95869,37421,17883
741,57,NU,68345,25367,11123
742,58,BC,10872777,4177582,2230209
743,58,AB,8345443,3295207,1483339
744,58,SK,2328769,899228,451254
745,58,MB,2764802,1069858,542865
746,58,ON,30949011,11802058,6561032
747,58,QC,18258146,6951500,3858253
748,58,NL,957817,462006,0
749,58,NB,1674393,638399,343140
750,58,NS,2145666,809686,458668
751,58,PE,348469,137486,62442
752,58,YT,90574,34856,18308
