Surrogate Keys,date,prname,province,totalcases,numdeaths,recovery,partial,fully,booster
640,2021-12-11,Saskatchewan,SK,81780,937,80193,1892527,844090,118853
641,2021-12-11,Manitoba,MB,69670,1349,66471,2254390,1031491,114731
642,2021-12-11,Ontario,ON,633242,10001,610592,24387806,11323370,1074634
643,2021-12-11,Quebec,QC,460307,11057,438983,14247631,6676328,389551
644,2021-12-11,Newfoundland and Labrador,NL,2078,18,2034,912448,442276,0
645,2021-12-11,New Brunswick,NB,9492,140,8255,1342380,617387,63198
646,2021-12-11,Nova Scotia,NS,8843,110,8244,1671588,790288,40860
647,2021-12-11,Prince Edward Island,PE,412,0,374,282743,133282,9018
648,2021-12-11,Yukon,YT,1586,14,1509,78190,33891,9116
649,2021-12-11,Northwest Territories,NT,2070,12,2046,88819,36464,13264
650,2021-12-11,Nunavut,NU,676,4,670,52289,24198,0
651,2021-12-18,British Columbia,BC,226696,2399,218960,9101805,4096876,688503
652,2021-12-18,Alberta,AB,342603,3293,333306,7251484,3195552,594730
653,2021-12-18,Saskatchewan,SK,82130,942,80627,1953285,848330,169365
654,2021-12-18,Manitoba,MB,71061,1363,67626,2341929,1034557,185780
655,2021-12-18,Ontario,ON,652356,10046,617773,25174953,11355707,1727744
656,2021-12-18,Quebec,QC,483213,11096,448759,14576502,6689192,617341
657,2021-12-18,Newfoundland and Labrador,NL,2175,18,2051,922405,444495,0
658,2021-12-18,New Brunswick,NB,10446,148,9064,1385907,619812,96016
659,2021-12-18,Nova Scotia,NS,10704,110,8380,1718187,792129,73668
660,2021-12-18,Prince Edward Island,PE,484,0,383,286492,133691,11085
661,2021-12-18,Yukon,YT,1631,14,1559,79649,33967,9990
662,2021-12-18,Northwest Territories,NT,2079,12,2056,90279,36630,13946
663,2021-12-18,Nunavut,NU,676,4,671,54397,24483,0
664,2021-12-25,British Columbia,BC,238210,2414,222604,9276592,4108585,807413
665,2021-12-25,Alberta,AB,352873,3303,335047,7452649,3211241,761153
666,2021-12-25,Saskatchewan,SK,83086,945,80906,2019537,852343,227768
667,2021-12-25,Manitoba,MB,74358,1370,68577,2407710,1036297,245589
668,2021-12-25,Ontario,ON,705514,10099,628670,26435461,11388860,2863624
669,2021-12-25,Quebec,QC,547901,11144,464206,15059219,6702436,1044498
670,2021-12-25,Newfoundland and Labrador,NL,2512,18,2088,931055,446648,0
671,2021-12-25,New Brunswick,NB,11896,152,9780,1429851,621534,133466
