pruid,prname,prnameFR,date,reporting_week,reporting_year,update,totalcases,numtotal_last7,ratecases_total,numdeaths,numdeaths_last7,ratedeaths,ratecases_last7,ratedeaths_last7,numtotal_last14,numdeaths_last14,ratetotal_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
35,Ontario,Ontario,2023-12-16,50,2023,1,1684103,4433,11146.05,18081,44,119.67,29.34,0.29,8512,127,56.34,0.84,633.29,4.19,6.29,0.04
24,Quebec,Québec,2023-12-16,50,2023,1,1424803,6262,16385.22,19254,76,221.42,72.01,0.87,11683,148,134.35,1.7,894.57,10.29,10.86,0.12
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2023-12-16,50,2023,1,57352,116,10904,383,2,72.82,22.05,0.38,235,4,44.68,0.76,16.57,3.15,0.29,0.05
13,New Brunswick,Nouveau-Brunswick,2023-12-16,50,2023,1,93381,,11499.26,978,6,120.43,,0.74,,8,,0.99,,,0.86,0.11
12,Nova Scotia,Nouvelle-Écosse,2023-12-16,50,2023,1,150238,307,14733.19,959,9,94.04,30.11,0.88,624,12,61.19,1.18,43.86,4.3,1.29,0.13
11,Prince Edward Island,Île-du-Prince-Édouard,2023-12-16,50,2023,1,58117,47,34048.67,114,0,66.79,27.54,0,106,1,62.1,0.59,6.71,3.93,0,0
60,Yukon,Yukon,2023-12-16,50,2023,0,4989,,11393.27,32,,73.08,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2023-12-16,50,2023,0,11511,,25240.65,22,,48.24,,,,,,,,,,
62,Nunavut,Nunavut,2023-12-16,50,2023,0,3531,,8712.93,7,,17.27,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2023-12-16,50,2023,,13,0,,0,0,,,,0,0,,,0,,0,
1,Canada,Canada,2023-12-16,50,2023,,4868960,12361,12506.99,57132,182,146.76,31.75,0.47,24227,408,62.23,1.05,1765.86,4.54,26,0.07
59,British Columbia,Colombie-Britannique,2023-12-23,51,2023,1,413170,356,7767.34,6501,25,122.21,6.69,0.47,417,52,7.84,0.98,50.86,0.96,3.57,0.07
48,Alberta,Alberta,2023-12-23,51,2023,1,647451,561,14251.27,6236,17,137.26,12.35,0.37,1222,32,26.9,0.7,80.14,1.76,2.43,0.05
47,Saskatchewan,Saskatchewan,2023-12-23,51,2023,1,161499,221,13516.79,2039,3,170.66,18.5,0.25,483,6,40.43,0.5,31.57,2.64,0.43,0.04
46,Manitoba,Manitoba,2023-12-23,51,2023,1,160090,150,11360.16,2571,,182.44,10.64,,362,,25.69,,21.43,1.52,,
35,Ontario,Ontario,2023-12-23,51,2023,1,1688265,4162,11173.6,18125,44,119.96,27.55,0.29,8595,88,56.89,0.58,594.57,3.94,6.29,0.04
24,Quebec,Québec,2023-12-23,51,2023,1,1430564,5761,16451.47,19336,82,222.36,66.25,0.94,12023,158,138.26,1.82,823,9.46,11.71,0.13
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2023-12-23,51,2023,1,57455,103,10923.59,384,1,73.01,19.58,0.19,219,3,41.64,0.57,14.71,2.8,0.14,0.03
13,New Brunswick,Nouveau-Brunswick,2023-12-23,51,2023,1,93753,,11545.07,983,5,121.05,,0.62,,11,,1.35,,,0.71,0.09
