covidID,dateID,province,totalcases,numdeaths,recovery
1191,92,NB,78056,490,65138
1192,92,NS,126598,544,43018
1193,92,PE,51919,61,41242
1194,92,YT,4908,31,4489
1195,92,NT,11511,22,11327
1196,92,NU,3531,7,3435
1197,93,BC,386293,4370,307963
1198,93,AB,609624,4978,523679
1199,93,SK,145734,1586,113023
1200,93,MB,150554,2190,129338
1201,93,ON,1468042,14982,1433456
1202,93,QC,1208502,16140,1099129
1203,93,NL,52111,246,25162
1204,93,NB,78687,493,65138
1205,93,NS,127608,552,43018
1206,93,PE,52229,63,41242
1207,93,YT,4923,31,4489
1208,93,NT,11511,22,11327
1209,93,NU,3531,7,3435
1210,94,BC,386920,4423,307963
1211,94,AB,610942,5011,523679
1212,94,SK,146222,1599,113023
1213,94,MB,150957,2199,129338
1214,94,ON,1477525,15102,1440901
1215,94,QC,1215109,16199,1099129
1216,94,NL,52335,250,25162
1217,94,NB,79434,576,65138
1218,94,NS,128714,567,43018
1219,94,PE,52683,64,41242
1220,94,YT,4929,31,4489
1221,94,NT,11511,22,11327
1222,94,NU,3531,7,3435
1223,95,BC,387451,4485,307963
1224,95,AB,612350,5050,523679
1225,95,SK,146888,1628,113023
1226,95,MB,151319,2211,129338
1227,95,ON,1487428,15243,1451065
1228,95,QC,1221176,16274,1099129
1229,95,NL,52552,254,25162
1230,95,NB,80126,585,65138
1231,95,NS,129705,583,43018
1232,95,PE,53199,66,41242
1233,95,YT,4941,31,4489
1234,95,NT,11511,22,11327
1235,95,NU,3531,7,3435
1236,96,BC,387936,4525,307963
1237,96,AB,613692,5093,523679
1238,96,SK,147688,1648,113023
1239,96,MB,151730,2232,129338
1240,96,ON,1497336,15392,1461063
1241,96,QC,1227156,16357,1099129
1242,96,NL,52802,257,25162
1243,96,NB,80715,592,65138
1244,96,NS,130534,598,43018
1245,96,PE,53561,69,41242
1246,96,YT,4954,32,4489
1247,96,NT,11511,22,11327
1248,96,NU,3531,7,3435
1249,97,BC,388497,4552,307963
1250,97,AB,615087,5129,523679
1251,97,SK,148288,1678,113023
1252,97,MB,152072,2256,129338
1253,97,ON,1505444,15519,1470891
1254,97,QC,1232862,16439,1099129
1255,97,NL,52973,262,25162
1256,97,NB,81269,599,65138
1257,97,NS,131239,613,43018
1258,97,PE,53797,72,41242
1259,97,YT,4974,32,4489
1260,97,NT,11511,22,11327
1261,97,NU,3531,7,3435
1262,98,BC,388984,4607,307963
1263,98,AB,616398,5169,523679
1264,98,SK,148736,1691,113023
1265,98,MB,152345,2261,129338
1266,98,ON,1511448,15621,1480653
1267,98,QC,1238143,16503,1099129
1268,98,NL,53150,268,25162
1269,98,NB,81787,603,65138
1270,98,NS,131825,628,43018
1271,98,PE,53977,74,41242
1272,98,YT,4989,32,4489
1273,98,NT,11511,22,11327
1274,98,NU,3531,7,3435
1275,99,BC,389479,4642,307963
1276,99,AB,617774,5225,523679
1277,99,SK,149189,1719,113023
1278,99,MB,152659,2277,129338
1279,99,ON,1516685,15722,1488812
1280,99,QC,1243467,16571,1099129
1281,99,NL,53299,271,25162
1282,99,NB,82223,609,65138
1283,99,NS,132351,639,43018
1284,99,PE,54257,76,41242
1285,99,YT,4989,32,4489
1286,99,NT,11511,22,11327
1287,99,NU,3531,7,3435
1288,100,BC,390087,4680,307963
1289,100,AB,619138,5266,523679
1290,100,SK,149678,1740,113023
1291,100,MB,152940,2293,129338
1292,100,ON,1521296,15809,1494823
1293,100,QC,1249656,16655,1099129
1294,100,NL,53465,275,25162
1295,100,NB,82819,615,65138
1296,100,NS,132887,653,43018
1297,100,PE,54559,79,41242
1298,100,YT,4989,32,4489
1299,100,NT,11511,22,11327
1300,100,NU,3531,7,3435
1301,101,BC,390626,4715,307963
1302,101,AB,620291,5308,523679
1303,101,SK,150139,1763,113023
1304,101,MB,153194,2301,129338
1305,101,ON,1526202,15886,1503634
1306,101,QC,1256948,16731,1099129
1307,101,NL,53635,278,25162
1308,101,NB,83425,621,65138
1309,101,NS,133406,666,43018
1310,101,PE,54870,81,41242
1311,101,YT,4989,32,4489
1312,101,NT,11511,22,11327
1313,101,NU,3531,7,3435
1314,102,BC,391285,4760,307963
1315,102,AB,621335,5335,523679
1316,102,SK,150566,1779,113023
1317,102,MB,153349,2305,129338
1318,102,ON,1531452,15960,1503729
1319,102,QC,1264324,16834,1099129
1320,102,NL,53785,282,25162
1321,102,NB,84244,628,65138
1322,102,NS,133919,672,43018
1323,102,PE,55111,81,41242
1324,102,YT,4989,32,4489
1325,102,NT,11511,22,11327
1326,102,NU,3531,7,3435
1327,103,BC,391897,4806,307963
1328,103,AB,622298,5366,523679
1329,103,SK,150942,1800,113023
1330,103,MB,153507,2331,129338
1331,103,ON,1537450,16030,1514025
1332,103,QC,1272075,16926,1099129
1333,103,NL,53914,288,25162
1334,103,NB,84891,722,65138
1335,103,NS,134483,674,43018
1336,103,PE,55319,82,41242
1337,103,YT,4989,32,4489
1338,103,NT,11511,22,11327
1339,103,NU,3531,7,3435
1340,104,BC,392453,4883,307963
1341,104,AB,623121,5395,523679
1342,104,SK,151268,1807,113023
1343,104,MB,153650,2369,129338
1344,104,ON,1543944,16117,1519664
